state,year,pres,gov,grade,subject,bb,ba,pr,ad
AL,1992,R,R,4,MATHEMATICS,57.0234113422614,32.8326589723495,9.68273105846165,0
AL,1992,R,R,4,READING,48.5227706950034,31.8364864595441,16.3635099604189,3.2772328850336
AL,1992,R,R,8,MATHEMATICS,61.2244696313846,28.6239847455697,9.25625573158571,0.89528989145998
AL,1996,R,D,4,MATHEMATICS,52.1940929597755,36.9850862682779,9.92812894664751,0.892691825299042
AL,1996,R,D,8,MATHEMATICS,54.7551140850389,33.2265048778533,10.8376583099292,1.18072272717859
AL,2000,R,D,4,MATHEMATICS,44.7240354510217,41.9208452427108,12.6800085874291,0.675110718838509
AL,2000,R,D,8,MATHEMATICS,47.2047105311549,36.4237331866994,13.9000095361214,2.4715467460243
AL,2003,R,R,4,MATHEMATICS,35.3670130068353,45.8507911568486,17.6248430312404,1.1573528050757
AL,2003,R,R,4,READING,47.530943230756,30.2309318567569,17.6996082896591,4.53851662282802
AL,2003,R,R,8,MATHEMATICS,47.1491554084956,37.1124786288566,13.8447855946018,1.89358036804595
AL,2003,R,R,8,READING,35.4348375307957,42.2896858966178,20.6473417734207,1.6281347991658
AL,2005,R,R,4,MATHEMATICS,33.5614981162745,45.5532050613602,19.165554581684,1.71974224068131
AL,2005,R,R,4,READING,47.2754781099727,30.4259622040895,17.8290410502411,4.46951863569668
AL,2005,R,R,8,MATHEMATICS,46.9723233021453,37.8228937010169,12.8661675077667,2.33861548907109
AL,2005,R,R,8,READING,37.3787995446683,40.7621955919818,20.076279307972,1.78272555537791
AL,2007,R,R,4,MATHEMATICS,29.842823013795,44.3580823225593,23.2705570401656,2.52853762348013
AL,2007,R,R,4,READING,38.4240558630333,32.6501956221606,22.3871578569083,6.53859065789788
AL,2007,R,R,8,MATHEMATICS,44.6799453693723,37.1607579437496,15.6713928599337,2.48790382694446
AL,2007,R,R,8,READING,37.7064486154938,41.1293058295377,19.8405452287141,1.32370032625434
AL,2009,R,R,4,MATHEMATICS,29.7381169760359,45.8027360444719,22.1058481055831,2.35329887390913
AL,2009,R,R,4,READING,37.9050378857677,33.8856076089433,22.4702514991571,5.7391030061319
AL,2009,R,R,4,SCIENCE,34.8280518338754,38.007806316591,26.9599418479937,0
AL,2009,R,R,8,MATHEMATICS,41.7366259010788,37.8279444707635,16.8079351032378,3.62749452491991
