state,year,years_since_ald_set,pres,gov,grade,subject,ald,value
AR,2011,1,R,D,4,MATHEMATICS,BB,19.4811364700966
AR,2011,1,R,D,4,MATHEMATICS,BA,43.2393823762585
AR,2011,1,R,D,4,MATHEMATICS,PR,32.8051849872874
AR,2011,1,R,D,4,MATHEMATICS,AD,4.47429616635757
AR,2011,1,R,D,4,READING,BB,37.2334526560296
AR,2011,1,R,D,4,READING,BA,32.6757955566421
AR,2011,1,R,D,4,READING,PR,24.1703283729461
AR,2011,1,R,D,4,READING,AD,5.92042341438219
AR,2011,1,R,D,8,MATHEMATICS,BB,30.2275168946483
AR,2011,1,R,D,8,MATHEMATICS,BA,40.5158446066665
AR,2011,1,R,D,8,MATHEMATICS,PR,24.4603380740228
AR,2011,1,R,D,8,MATHEMATICS,AD,4.79630042466231
AR,2011,1,R,D,8,READING,BB,29.4336716680995
AR,2011,1,R,D,8,READING,BA,42.7295731959068
AR,2011,1,R,D,8,READING,PR,26.2012096970237
AR,2011,1,R,D,8,READING,AD,1.63554543897001
AR,2013,3,R,D,4,MATHEMATICS,BB,17.078247594566
AR,2013,3,R,D,4,MATHEMATICS,BA,43.6359489312275
AR,2013,3,R,D,4,MATHEMATICS,PR,34.0814092568064
AR,2013,3,R,D,4,MATHEMATICS,AD,5.20439421740007
AR,2013,3,R,D,4,READING,BB,34.016586176084
AR,2013,3,R,D,4,READING,BA,34.3436644518357
AR,2013,3,R,D,4,READING,PR,24.9661067856295
AR,2013,3,R,D,4,READING,AD,6.67364258645084
AR,2013,3,R,D,8,MATHEMATICS,BB,30.9620356427692
AR,2013,3,R,D,8,MATHEMATICS,BA,41.3571854337425
AR,2013,3,R,D,8,MATHEMATICS,PR,23.168437386279
AR,2013,3,R,D,8,MATHEMATICS,AD,4.51234153720921
AR,2013,3,R,D,8,READING,BB,27.1769987894995
AR,2013,3,R,D,8,READING,BA,42.4914795081041
AR,2013,3,R,D,8,READING,PR,27.4104046902245
AR,2013,3,R,D,8,READING,AD,2.92111701217189
AR,2015,0,R,R,4,MATHEMATICS,BB,21.3959157181927
