state,year,pres,gov,grade,subject,ald,value
AL,1992,R,R,4,MATHEMATICS,BB,57.0234113422614
AL,1992,R,R,4,MATHEMATICS,BA,32.8326589723495
AL,1992,R,R,4,MATHEMATICS,PR,9.68273105846165
AL,1992,R,R,4,MATHEMATICS,AD,0
AL,1992,R,R,4,READING,BB,48.5227706950034
AL,1992,R,R,4,READING,BA,31.8364864595441
AL,1992,R,R,4,READING,PR,16.3635099604189
AL,1992,R,R,4,READING,AD,3.2772328850336
AL,1992,R,R,8,MATHEMATICS,BB,61.2244696313846
AL,1992,R,R,8,MATHEMATICS,BA,28.6239847455697
AL,1992,R,R,8,MATHEMATICS,PR,9.25625573158571
AL,1992,R,R,8,MATHEMATICS,AD,0.89528989145998
AL,1996,R,D,4,MATHEMATICS,BB,52.1940929597755
AL,1996,R,D,4,MATHEMATICS,BA,36.9850862682779
AL,1996,R,D,4,MATHEMATICS,PR,9.92812894664751
AL,1996,R,D,4,MATHEMATICS,AD,0.892691825299042
AL,1996,R,D,8,MATHEMATICS,BB,54.7551140850389
AL,1996,R,D,8,MATHEMATICS,BA,33.2265048778533
AL,1996,R,D,8,MATHEMATICS,PR,10.8376583099292
AL,1996,R,D,8,MATHEMATICS,AD,1.18072272717859
AL,2000,R,D,4,MATHEMATICS,BB,44.7240354510217
AL,2000,R,D,4,MATHEMATICS,BA,41.9208452427108
AL,2000,R,D,4,MATHEMATICS,PR,12.6800085874291
AL,2000,R,D,4,MATHEMATICS,AD,0.675110718838509
AL,2000,R,D,8,MATHEMATICS,BB,47.2047105311549
AL,2000,R,D,8,MATHEMATICS,BA,36.4237331866994
AL,2000,R,D,8,MATHEMATICS,PR,13.9000095361214
AL,2000,R,D,8,MATHEMATICS,AD,2.4715467460243
AL,2003,R,R,4,MATHEMATICS,BB,35.3670130068353
AL,2003,R,R,4,MATHEMATICS,BA,45.8507911568486
AL,2003,R,R,4,MATHEMATICS,PR,17.6248430312404
AL,2003,R,R,4,MATHEMATICS,AD,1.1573528050757
AL,2003,R,R,4,READING,BB,47.530943230756
AL,2003,R,R,4,READING,BA,30.2309318567569
AL,2003,R,R,4,READING,PR,17.6996082896591
AL,2003,R,R,4,READING,AD,4.53851662282802
AL,2003,R,R,8,MATHEMATICS,BB,47.1491554084956
AL,2003,R,R,8,MATHEMATICS,BA,37.1124786288566
AL,2003,R,R,8,MATHEMATICS,PR,13.8447855946018
AL,2003,R,R,8,MATHEMATICS,AD,1.89358036804595
AL,2003,R,R,8,READING,BB,35.4348375307957
AL,2003,R,R,8,READING,BA,42.2896858966178
